year,category,medal
1984,Archery,SILVER
1984,Track & Field,BRONZE
1984,Basketball,BRONZE
1984,Diving,SILVER
1984,Diving,BRONZE
1984,Diving,GOLD
1984,Fencing,GOLD
1984,Gymnastics,BRONZE
1984,Gymnastics,SILVER
1984,Gymnastics,GOLD
1984,Gymnastics,SILVER
1984,Gymnastics,GOLD
1984,Gymnastics,GOLD
1984,Gymnastics,GOLD
1984,Gymnastics,SILVER
1984,Gymnastics,GOLD
1984,Gymnastics,BRONZE
1984,Handball,BRONZE
1984,Shooting,GOLD
1984,Shooting,BRONZE
1984,Shooting,GOLD
1984,Shooting,BRONZE
1984,Shooting,GOLD
1984,Shooting,BRONZE
1984,Volleyball,GOLD
1984,Weightlifting,GOLD
1984,Weightlifting,SILVER
1984,Weightlifting,GOLD
1984,Weightlifting,SILVER
1984,Weightlifting,GOLD
1984,Weightlifting,GOLD
1988,Track & Field,BRONZE
1988,Diving,SILVER
1988,Diving,BRONZE
1988,Diving,SILVER
1988,Diving,GOLD
1988,Diving,SILVER
1988,Diving,GOLD
1988,Gymnastics,GOLD
1988,Gymnastics,BRONZE
1988,Rowing,SILVER
1988,Rowing,BRONZE
1988,Shooting,BRONZE
1988,Shooting,SILVER
1988,Swimming,SILVER
1988,Swimming,SILVER
1988,Swimming,SILVER
1988,Swimming,BRONZE
1988,Table Tennis,GOLD
1988,Table Tennis,GOLD
1988,Table Tennis,SILVER
1988,Table Tennis,BRONZE
1988,Table Tennis,SILVER
1988,Volleyball,BRONZE
1988,Weightlifting,BRONZE
1988,Weightlifting,SILVER
1988,Weightlifting,BRONZE
1988,Weightlifting,BRONZE
1988,Weightlifting,BRONZE
1992,Archery,SILVER
1992,Track & Field,BRONZE
1992,Track & Field,SILVER
1992,Track & Field,GOLD
1992,Track & Field,BRONZE
1992,Badminton,BRONZE
1992,Badminton,BRONZE
1992,Badminton,BRONZE
1992,Badminton,SILVER
1992,Badminton,BRONZE
1992,Basketball,SILVER
1992,Diving,SILVER
1992,Diving,GOLD
1992,Diving,BRONZE
1992,Diving,GOLD
1992,Diving,GOLD
1992,Fencing,SILVER
1992,Gymnastics,SILVER
1992,Gymnastics,BRONZE
1992,Gymnastics,SILVER
1992,Gymnastics,BRONZE
1992,Gymnastics,GOLD
1992,Gymnastics,SILVER
1992,Gymnastics,GOLD
1992,Gymnastics,SILVER
1992,Judo,BRONZE
1992,Judo,BRONZE
1992,Judo,GOLD
1992,Rowing,BRONZE
1992,Shooting,SILVER
1992,Shooting,GOLD
1992,Shooting,GOLD
1992,Shooting,SILVER
1992,Swimming,GOLD
1992,Swimming,SILVER
1992,Swimming,GOLD
1992,Swimming,SILVER
1992,Swimming,GOLD
1992,Swimming,SILVER
1992,Swimming,GOLD
1992,Swimming,SILVER
1992,Swimming,SILVER
1992,Table Tennis,BRONZE
1992,Table Tennis,GOLD
1992,Table Tennis,GOLD
1992,Table Tennis,SILVER
1992,Table Tennis,GOLD
1992,Table Tennis,SILVER
1992,Weightlifting,SILVER
1992,Weightlifting,SILVER
1992,Weightlifting,BRONZE
1992,Weightlifting,BRONZE
1992,Wrestling,BRONZE
1992,Sailing,SILVER
1996,Archery,SILVER
1996,Track & Field,SILVER
1996,Track & Field,SILVER
1996,Track & Field,BRONZE
1996,Track & Field,GOLD
1996,Badminton,SILVER
1996,Badminton,GOLD
1996,Badminton,BRONZE
1996,Badminton,BRONZE
1996,Diving,GOLD
1996,Diving,SILVER
1996,Diving,BRONZE
1996,Diving,GOLD
1996,Diving,GOLD
1996,Gymnastics,GOLD
1996,Gymnastics,BRONZE
1996,Gymnastics,SILVER
1996,Gymnastics,SILVER
1996,Gymnastics,SILVER
1996,Gymnastics,SILVER
1996,Judo,BRONZE
1996,Judo,GOLD
1996,Rowing,SILVER
1996,Shooting,SILVER
1996,Shooting,GOLD
1996,Shooting,SILVER
1996,Shooting,BRONZE
1996,Shooting,GOLD
1996,Soccer,SILVER
1996,Softball,SILVER
1996,Swimming,SILVER
1996,Swimming,GOLD
1996,Swimming,SILVER
1996,Swimming,BRONZE
1996,Swimming,SILVER
1996,Swimming,BRONZE
1996,Table Tennis,GOLD
1996,Table Tennis,SILVER
1996,Table Tennis,GOLD
1996,Table Tennis,SILVER
1996,Table Tennis,GOLD
1996,Table Tennis,BRONZE
1996,Table Tennis,GOLD
1996,Table Tennis,SILVER
1996,Volleyball,SILVER
1996,Weightlifting,SILVER
1996,Weightlifting,GOLD
1996,Weightlifting,BRONZE
1996,Weightlifting,GOLD
1996,Wrestling,BRONZE
2000,Track & Field,GOLD
2000,Badminton,GOLD
2000,Badminton,BRONZE
2000,Badminton,GOLD
2000,Badminton,BRONZE
2000,Badminton,GOLD
2000,Badminton,SILVER
2000,Badminton,BRONZE
2000,Badminton,GOLD
2000,Cycling,BRONZE
2000,Diving,GOLD
2000,Diving,GOLD
2000,Diving,SILVER
2000,Diving,GOLD
2000,Diving,SILVER
2000,Diving,SILVER
2000,Diving,GOLD
2000,Diving,SILVER
2000,Diving,SILVER
2000,Diving,GOLD
2000,Fencing,SILVER
2000,Fencing,BRONZE
2000,Gymnastics,SILVER
2000,Gymnastics,GOLD
2000,Gymnastics,GOLD
2000,Gymnastics,BRONZE
2000,Gymnastics,SILVER
2000,Gymnastics,BRONZE
2000,Gymnastics,GOLD
2000,Gymnastics,BRONZE
2000,Judo,BRONZE
2000,Judo,SILVER
2000,Judo,GOLD
2000,Judo,GOLD
2000,Shooting,SILVER
2000,Shooting,GOLD
2000,Shooting,BRONZE
2000,Shooting,GOLD
2000,Shooting,SILVER
2000,Shooting,GOLD
2000,Shooting,BRONZE
2000,Shooting,BRONZE
2000,Table Tennis,GOLD
2000,Table Tennis,BRONZE
2000,Table Tennis,GOLD
2000,Table Tennis,SILVER
2000,Table Tennis,GOLD
2000,Table Tennis,SILVER
2000,Table Tennis,GOLD
2000,Table Tennis,SILVER
2000,Taekwondo,GOLD
2000,Weightlifting,SILVER
2000,Weightlifting,BRONZE
2000,Weightlifting,GOLD
2000,Weightlifting,GOLD
2000,Weightlifting,GOLD
2000,Weightlifting,GOLD
2000,Weightlifting,GOLD
2000,Wrestling,BRONZE
2004,Archery,SILVER
2004,Track & Field,GOLD
