year,team,category,medal
1896,Greece,Track & Field,BRONZE
1896,Greece,Track & Field,GOLD
1896,Greece,Track & Field,SILVER
1896,Greece,Track & Field,BRONZE
1896,Greece,Track & Field,BRONZE
1896,Greece,Track & Field,BRONZE
1896,Greece,Track & Field,SILVER
1896,Greece,Track & Field,BRONZE
1896,Greece,Track & Field,SILVER
1896,Greece,Track & Field,BRONZE
1896,Greece,Cycling,SILVER
1896,Greece,Cycling,GOLD
1896,Greece,Cycling,SILVER
1896,Greece,Cycling,SILVER
1896,Greece,Fencing,BRONZE
1896,Greece,Fencing,GOLD
1896,Greece,Fencing,SILVER
1896,Greece,Fencing,GOLD
1896,Greece,Gymnastics,GOLD
1896,Greece,Gymnastics,BRONZE
1896,Greece,Gymnastics,GOLD
1896,Greece,Gymnastics,SILVER
1896,Greece,Gymnastics,SILVER
1896,Greece,Gymnastics,SILVER
1896,Greece,Gymnastics,SILVER
1896,Greece,Gymnastics,SILVER
1896,Greece,Gymnastics,BRONZE
1896,Greece,Gymnastics,BRONZE
1896,Greece,Gymnastics,BRONZE
1896,Greece,Gymnastics,BRONZE
1896,Greece,Shooting,GOLD
1896,Greece,Shooting,SILVER
1896,Greece,Shooting,BRONZE
1896,Greece,Shooting,BRONZE
1896,Greece,Shooting,GOLD
1896,Greece,Shooting,SILVER
1896,Greece,Shooting,BRONZE
1896,Greece,Shooting,GOLD
1896,Greece,Shooting,SILVER
1896,Greece,Swimming,SILVER
1896,Greece,Swimming,BRONZE
1896,Greece,Swimming,SILVER
1896,Greece,Swimming,BRONZE
1896,Greece,Swimming,GOLD
1896,Greece,Swimming,SILVER
1896,Greece,Swimming,BRONZE
1896,Greece,Tennis,SILVER
1896,Greece,Tennis,BRONZE
1896,Greece,Weightlifting,BRONZE
1896,Greece,Weightlifting,BRONZE
1896,Greece,Weightlifting,BRONZE
1896,Greece,Wrestling,SILVER
1896,Greece,Wrestling,BRONZE
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,BRONZE
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,SILVER
1896,United States,Track & Field,BRONZE
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,GOLD
1896,United States,Track & Field,GOLD
1896,United States,Shooting,GOLD
1896,United States,Shooting,GOLD
1896,United States,Shooting,SILVER
1896,Germany (until 1912),Track & Field,SILVER
1896,Germany (until 1912),Cycling,SILVER
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,SILVER
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,BRONZE
1896,Germany (until 1912),Gymnastics,SILVER
1896,Germany (until 1912),Gymnastics,SILVER
1896,Germany (until 1912),Gymnastics,BRONZE
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Gymnastics,GOLD
1896,Germany (until 1912),Weightlifting,BRONZE
1896,Germany (until 1912),Wrestling,GOLD
1896,France,Track & Field,BRONZE
1896,France,Track & Field,SILVER
1896,France,Cycling,GOLD
1896,France,Cycling,BRONZE
1896,France,Cycling,GOLD
1896,France,Cycling,GOLD
1896,France,Cycling,SILVER
1896,France,Cycling,GOLD
1896,France,Fencing,GOLD
1896,France,Fencing,SILVER
1896,France,Fencing,SILVER
1896,United Kingdom,Track & Field,BRONZE
1896,United Kingdom,Track & Field,SILVER
1896,United Kingdom,Cycling,BRONZE
1896,United Kingdom,Cycling,SILVER
1896,United Kingdom,Tennis,GOLD
1896,United Kingdom,Weightlifting,SILVER
1896,United Kingdom,Weightlifting,GOLD
1896,Denmark,Fencing,BRONZE
1896,Denmark,Shooting,BRONZE
1896,Denmark,Shooting,SILVER
1896,Denmark,Shooting,BRONZE
1896,Denmark,Weightlifting,GOLD
1896,Denmark,Weightlifting,SILVER
1896,Hungary,Track & Field,BRONZE
1896,Hungary,Track & Field,SILVER
1896,Hungary,Track & Field,BRONZE
1896,Hungary,Swimming,GOLD
1896,Hungary,Swimming,GOLD
1896,Hungary,Tennis,BRONZE
1896,Hungary,Weightlifting,BRONZE
1896,Austria,Cycling,BRONZE
1896,Austria,Cycling,BRONZE
1896,Austria,Cycling,GOLD
1896,Austria,Swimming,SILVER
1896,Austria,Swimming,GOLD
1896,International Team,Tennis,GOLD
1896,International Team,Tennis,GOLD
1896,International Team,Tennis,SILVER
1896,International Team,Tennis,SILVER
1896,International Team,Tennis,BRONZE
1896,International Team,Tennis,BRONZE
1896,Switzerland,Gymnastics,SILVER
1896,Switzerland,Gymnastics,SILVER
1896,Switzerland,Gymnastics,GOLD
1896,Australia,Track & Field,GOLD
1896,Australia,Track & Field,GOLD
1900,France,Archery,SILVER
1900,France,Archery,GOLD
1900,France,Archery,SILVER
1900,France,Archery,SILVER
1900,France,Archery,BRONZE
1900,France,Archery,GOLD
1900,France,Archery,BRONZE
1900,France,Archery,SILVER
1900,France,Archery,BRONZE
1900,France,Archery,GOLD
1900,France,Archery,SILVER
1900,France,Archery,BRONZE
1900,France,Track & Field,SILVER
1900,France,Track & Field,GOLD
1900,France,Track & Field,SILVER
1900,France,Track & Field,SILVER
1900,France,Track & Field,BRONZE
1900,France,Track & Field,SILVER
1900,France,Track & Field,SILVER
1900,France,Track & Field,SILVER
1900,France,Track & Field,SILVER
1900,France,Track & Field,SILVER
1900,France,Track & Field,BRONZE
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,SILVER
1900,France,Cricket,GOLD
1900,France,Cricket,SILVER
1900,France,Cricket,GOLD
1900,France,Cricket,SILVER
1900,France,Cricket,BRONZE
1900,France,Cricket,GOLD
1900,France,Cricket,GOLD
1900,France,Cricket,GOLD
1900,France,Cricket,SILVER
1900,France,Cricket,GOLD
1900,France,Cricket,SILVER
1900,France,Cricket,BRONZE
1900,France,Croquet,BRONZE
1900,France,Croquet,GOLD
1900,France,Croquet,BRONZE
1900,France,Croquet,GOLD
1900,France,Croquet,SILVER
1900,France,Croquet,BRONZE
1900,France,Croquet,SILVER
1900,France,Cycling,BRONZE
1900,France,Cycling,GOLD
1900,France,Cycling,SILVER
1900,France,Cycling,BRONZE
1900,France,Cycling,SILVER
1900,France,Equestrian,BRONZE
1900,France,Equestrian,GOLD
1900,France,Equestrian,SILVER
1900,France,Equestrian,GOLD
1900,France,Equestrian,SILVER
1900,France,Equestrian,BRONZE
1900,France,Equestrian,GOLD
1900,France,Equestrian,SILVER
1900,France,Fencing,BRONZE
1900,France,Fencing,GOLD
1900,France,Fencing,BRONZE
1900,France,Fencing,GOLD
1900,France,Fencing,SILVER
1900,France,Fencing,BRONZE
1900,France,Fencing,SILVER
1900,France,Fencing,SILVER
1900,France,Fencing,GOLD
1900,France,Fencing,SILVER
1900,France,Fencing,SILVER
1900,France,Fencing,SILVER
1900,France,Fencing,BRONZE
1900,France,Fencing,BRONZE
1900,France,Fencing,BRONZE
1900,France,Gymnastics,GOLD
1900,France,Gymnastics,GOLD
1900,France,Gymnastics,GOLD
1900,France,Pelota Basque,GOLD
1900,France,Pelota Basque,GOLD
1900,France,Rowing,SILVER
1900,France,Rowing,SILVER
1900,France,Rowing,SILVER
1900,France,Rowing,SILVER
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rowing,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,GOLD
1900,France,Rugby,SILVER
1900,France,Rugby,BRONZE
1900,France,Rugby,SILVER
1900,France,Rugby,GOLD
1900,France,Rugby,SILVER
1900,France,Rugby,BRONZE
1900,France,Rugby,GOLD
1900,France,Rugby,SILVER
1900,France,Rugby,BRONZE
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,GOLD
1900,France,Rugby,BRONZE
1900,France,Rugby,BRONZE
1900,France,Rugby,BRONZE
1900,France,Rugby,BRONZE
1900,France,Rugby,BRONZE
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Rugby,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,BRONZE
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,SILVER
1900,France,Shooting,BRONZE
1900,France,Shooting,BRONZE
1900,France,Shooting,BRONZE
1900,France,Shooting,BRONZE
1900,France,Shooting,BRONZE
1900,France,Shooting,GOLD
1900,France,Shooting,SILVER
1900,France,Shooting,BRONZE
1900,France,Shooting,BRONZE
1900,France,Shooting,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,BRONZE
1900,France,Soccer,GOLD
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,SILVER
1900,France,Soccer,BRONZE
1900,France,Swimming,BRONZE
1900,France,Swimming,BRONZE
1900,France,Swimming,GOLD
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Swimming,BRONZE
1900,France,Swimming,GOLD
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Swimming,SILVER
1900,France,Tennis,SILVER
1900,France,Tennis,BRONZE
1900,France,Tennis,BRONZE
1900,France,Tug Of War,BRONZE
1900,France,Tug Of War,SILVER
1900,France,Tug Of War,SILVER
1900,France,Tug Of War,SILVER
1900,France,Tug Of War,SILVER
1900,France,Tug Of War,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,GOLD
1900,France,Water Polo,GOLD
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,BRONZE
1900,France,Water Polo,GOLD
1900,France,Water Polo,GOLD
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,BRONZE
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,SILVER
1900,France,Water Polo,GOLD
1900,France,Sailing,GOLD
1900,France,Sailing,SILVER
1900,France,Sailing,BRONZE
1900,France,Sailing,BRONZE
1900,United States,Track & Field,GOLD
1900,United States,Track & Field,SILVER
1900,United States,Track & Field,GOLD
1900,United States,Track & Field,GOLD
1900,United States,Track & Field,SILVER
1900,United States,Track & Field,SILVER
1900,United States,Track & Field,BRONZE
1900,United States,Track & Field,BRONZE
1900,United States,Track & Field,GOLD
1900,United States,Track & Field,SILVER
1900,United States,Track & Field,BRONZE
