"","year","team"
"1","1986","Greece"
"2","1896","United States"
"3","1896","Germany (until 1912)"
"4","1896","France"
"5","1896","United Kingdom"
"6","1896","Denmark"
"7","1896","Hungary"
"8","1896","Austria"
"9","1896","International Team"
"10","1896","Switzerland"
"11","1896","Australia"
"12","1900","Belgium"
"13","1900","Italy (until 1946)"
"14","1900","Netherlands"
"15","1900","Canada"
"16","1900","Cuba"
"17","1900","Spain"
"18","1900","Sweden"
"19","1906","Norway"
"20","1906","Finland"
"21","1908","Australasia (until 1920)"
"22","1908","Russia"
"23","1908","South Africa (until 1960)"
"24","1920","Brazil"
"25","1920","Estonia"
"26","1924","Czechoslovakia (until 1992)"
"27","1924","Argentina"
"28","1924","Luxembourg"
"29","1924","Yugoslavia (until 1988)"
"30","1924","Uruguay"
"31","1928","Germany"
"32","1928","Poland"
"33","1928","Japan"
"34","1928","Egypt"
"35","1928","British India"
"36","1928","Ireland"
"37","1928","New Zealand"
"38","1936","Turkey"
"39","1948","Italy"
"40","1948","Mexico"
"41","1948","Jamaica"
"42","1948","India"
"43","1948","Peru"
"44","1952","Soviet Union"
"45","1952","Romania"
"46","1956","Bulgaria"
"47","1956","Iran"
"48","1960","Pakistan"
"49","1960","Ethiopia"
"50","1964","Bahamas"
"51","1968","West Germany"
"52","1968","East Germany"
"53","1968","Kenya"
"54","1968","Tunisia"
"55","1968","Venezuela"
"56","1972","North Korea"
"57","1972","Uganda"
"58","1976","South Korea"
"59","1976","Trinidad & Tobago"
"60","1980","Zimbabwe"
"61","1984","China"
"62","1984","Portugal"
"63","1984","Morocco"
"64","1988","Suriname"
"65","1992","Czech Rep."
"66","1992","Indonesia"
"67","1992","Algeria"
"68","1992","Lithuania"
"69","1996","Ukraine"
"70","1996","Belarus"
"71","1996","Kazakhstan"
"72","1996","Nigeria"
"73","1996","South Africa"
"74","1996","Yugoslav Federation"
"75","1996","Slovak Rep."
"76","1996","Armenia"
"77","1996","Croatia"
"78","1996","Thailand"
"79","1996","Burundi"
"80","1996","Costa Rica"
"81","1996","Ecuador"
"82","1996","Hong Kong"
"83","1996","Syria"
"84","2000","Uzbekistan"
"85","2000","Azerbaijan"
"86","2000","Latvia"
"87","2000","Slovenia"
"88","2000","Cameroon"
"89","2000","Colombia"
"90","2000","Mozambique"
"91","2004","Taiwan"
"92","2004","Georgia"
"93","2004","Chile"
"94","2004","Israel"
"95","2004","Dominican Rep."
"96","2004","United Arab Emirates"
"97","2008","Mongolia"
"98","2008","Bahrain"
"99","2008","Panama"
